date,ticker,mom_1m,mom_3m,momentum_score
2026-01-02,NKE,-0.025412,-0.145984,-1.293836
2026-01-02,TGT,0.110976,0.137045,1.424566
2026-01-02,DIS,0.074184,0.004162,0.324841
2026-01-02,SBUX,-0.014437,-0.024716,-0.436717
2026-01-02,TSLA,0.020571,0.004748,-0.018853
2026-01-05,NKE,-0.01706,-0.09715,-1.246182
2026-01-05,TGT,0.122965,0.16126,1.474133
2026-01-05,DIS,0.086077,0.021088,0.265258
2026-01-05,SBUX,-0.006314,0.008856,-0.449054
2026-01-05,TSLA,0.011036,0.050811,-0.044156
2026-01-06,NKE,-0.005176,-0.075914,-0.943321
2026-01-06,TGT,0.138771,0.187216,1.385028
2026-01-06,DIS,0.09363,0.023017,0.187671
2026-01-06,SBUX,0.052471,0.097385,0.377613
2026-01-06,TSLA,-0.047456,-0.044766,-1.006991
2026-01-07,NKE,-0.040085,-0.076715,-1.107012
2026-01-07,TGT,0.124525,0.175947,1.475845
2026-01-07,DIS,0.079525,0.010166,0.171132
2026-01-07,SBUX,0.018445,0.074133,0.189006
2026-01-07,TSLA,-0.051846,-0.003879,-0.72897
2026-01-08,NKE,0.02707,-0.049404,-0.910068
2026-01-08,TGT,0.142596,0.191307,1.508896
2026-01-08,DIS,0.067941,0.027281,-0.111823
2026-01-08,SBUX,0.057187,0.109658,0.374526
2026-01-08,TSLA,-0.008599,-0.006588,-0.861531
2026-01-09,NKE,0.040897,-0.025259,-0.963498
2026-01-09,TGT,0.12711,0.199215,1.417103
2026-01-09,DIS,0.090114,0.051122,-0.001113
2026-01-09,SBUX,0.080214,0.122112,0.466977
2026-01-09,TSLA,-0.000359,0.021743,-0.919468
2026-01-12,NKE,-0.00228,0.012865,-0.989055
2026-01-12,TGT,0.12175,0.256611,1.509498
2026-01-12,DIS,0.043677,0.040236,-0.490893
2026-01-12,SBUX,0.072868,0.154855,0.486112
2026-01-12,TSLA,-0.005516,0.085782,-0.515662
2026-01-13,NKE,-0.021258,-0.009747,-0.948754
2026-01-13,TGT,0.120243,0.259438,1.514979
2026-01-13,DIS,0.020495,0.031508,-0.450784
2026-01-13,SBUX,0.068681,0.139751,0.487639
2026-01-13,TSLA,0.000694,0.025923,-0.60308
2026-01-14,NKE,-0.028161,-0.024414,-0.920031
2026-01-14,TGT,0.131115,0.250048,1.503678
2026-01-14,DIS,0.024177,0.028138,-0.33391
2026-01-14,SBUX,0.067956,0.131343,0.487428
2026-01-14,TSLA,-0.043054,0.023204,-0.737165
2026-01-15,NKE,-0.047064,-0.050506,-0.963603
2026-01-15,TGT,0.139094,0.237826,1.387297
2026-01-15,DIS,0.026428,0.022087,-0.239814
2026-01-15,SBUX,0.092272,0.133887,0.640337
2026-01-15,TSLA,-0.077297,0.007859,-0.824217
2026-01-16,NKE,-0.040822,-0.030655,-0.793727
2026-01-16,TGT,0.139347,0.251057,1.473782
2026-01-16,DIS,-0.003763,0.01886,-0.368706
2026-01-16,SBUX,0.092971,0.110526,0.556206
2026-01-16,TSLA,-0.106924,0.020408,-0.867556
2026-01-20,NKE,-0.031359,-0.049484,-0.709843
2026-01-20,TGT,0.108925,0.218827,1.33791
2026-01-20,DIS,-0.002621,0.003764,-0.298953
2026-01-20,SBUX,0.099167,0.105162,0.719352
2026-01-20,TSLA,-0.102748,-0.045663,-1.048466
2026-01-21,NKE,-0.003352,-0.026507,-0.570398
2026-01-21,TGT,0.07057,0.173131,1.0652
2026-01-21,DIS,0.011799,0.017826,-0.214742
2026-01-21,SBUX,0.078394,0.14902,0.96782
2026-01-21,TSLA,-0.107433,-0.035737,-1.24788
2026-01-22,NKE,0.114972,-0.036309,-0.143348
2026-01-22,TGT,0.086624,0.142399,1.096521
2026-01-22,DIS,0.017709,-0.002835,-0.669346
2026-01-22,SBUX,0.084909,0.123659,0.927851
2026-01-22,TSLA,-0.066168,0.015273,-1.211678
2026-01-23,NKE,0.136665,-0.052472,-0.194583
2026-01-23,TGT,0.135504,0.164248,1.089788
