date,ticker,sentiment_score,n_articles
2026-01-02,NKE,-0.766051,1
2026-01-02,TGT,0.432397,4
2026-01-02,DIS,0.099071,1
2026-01-02,SBUX,-0.957411,1
2026-01-02,TSLA,0.609092,6
2026-01-05,NKE,0.011241,4
2026-01-05,TGT,0.089374,21
2026-01-05,DIS,0.325504,5
2026-01-05,SBUX,-0.139475,7
2026-01-05,TSLA,-0.605338,30
2026-01-06,NKE,0.716671,1
2026-01-06,TGT,0.611626,2
2026-01-06,DIS,0.150559,6
2026-01-06,SBUX,0.151697,2
2026-01-06,TSLA,-0.055706,13
2026-01-07,NKE,-0.035818,2
2026-01-07,TGT,0.389248,3
2026-01-07,DIS,0.770212,1
2026-01-07,SBUX,0.805184,4
2026-01-07,TSLA,-0.654438,7
2026-01-08,NKE,0.916365,1
2026-01-08,TGT,0.485966,4
2026-01-08,DIS,0.448327,9
2026-01-08,SBUX,0.004787,3
2026-01-08,TSLA,0.202533,7
2026-01-09,NKE,-0.339319,2
2026-01-09,TGT,0.661519,7
2026-01-09,DIS,0.564749,2
2026-01-09,SBUX,0.83016,2
2026-01-09,TSLA,0.501802,4
2026-01-12,NKE,0.390775,2
2026-01-12,TGT,0.138794,10
2026-01-12,DIS,0.410154,13
2026-01-12,SBUX,0.270338,6
2026-01-12,TSLA,0.276021,14
2026-01-13,NKE,-0.809802,1
2026-01-13,TGT,0.628372,2
2026-01-13,DIS,0.889208,4
2026-01-13,SBUX,0.501371,2
2026-01-13,TSLA,0.160639,8
2026-01-14,NKE,0.0,0
2026-01-14,TGT,0.183934,4
2026-01-14,DIS,0.093578,3
2026-01-14,SBUX,-0.915199,4
2026-01-14,TSLA,0.266919,19
2026-01-15,NKE,0.804487,3
2026-01-15,TGT,0.082572,4
2026-01-15,DIS,0.274088,13
2026-01-15,SBUX,0.428638,5
2026-01-15,TSLA,0.174721,18
2026-01-16,NKE,0.884184,1
2026-01-16,TGT,0.459794,4
2026-01-16,DIS,0.367744,7
2026-01-16,SBUX,0.898494,1
2026-01-16,TSLA,-0.252572,4
2026-01-20,NKE,0.795251,1
2026-01-20,TGT,-0.600593,4
2026-01-20,DIS,-0.903912,1
2026-01-20,SBUX,0.223105,2
2026-01-20,TSLA,0.040574,1
2026-01-21,NKE,0.0,0
2026-01-21,TGT,-0.178019,2
2026-01-21,DIS,0.277011,3
2026-01-21,SBUX,0.633178,4
2026-01-21,TSLA,-0.326124,8
2026-01-22,NKE,0.853058,1
2026-01-22,TGT,0.393481,3
2026-01-22,DIS,0.462005,4
2026-01-22,SBUX,-0.29831,6
2026-01-22,TSLA,0.023856,11
2026-01-23,NKE,-0.170232,6
2026-01-23,TGT,-0.400933,11
2026-01-23,DIS,0.74227,1
2026-01-23,SBUX,0.548632,3
2026-01-23,TSLA,0.424758,12
2026-01-26,NKE,0.547,3
2026-01-26,TGT,-0.008149,11
2026-01-26,DIS,0.224633,5
2026-01-26,SBUX,0.544584,3
2026-01-26,TSLA,0.069249,41
2026-01-27,NKE,-0.364093,3
2026-01-27,TGT,-0.247038,6
2026-01-27,DIS,0.913704,1
2026-01-27,SBUX,-0.37616,13
2026-01-27,TSLA,-0.112018,10
2026-01-28,NKE,0.0,0
2026-01-28,TGT,-0.241227,4
2026-01-28,DIS,0.0,0
2026-01-28,SBUX,-0.474673,6
2026-01-28,TSLA,-0.198988,6
2026-01-29,NKE,-0.934226,3
2026-01-29,TGT,0.094051,3
2026-01-29,DIS,0.0,0
2026-01-29,SBUX,-0.03381,4
2026-01-29,TSLA,0.069758,21
2026-01-30,NKE,0.242439,2
2026-01-30,TGT,0.181084,5
2026-01-30,DIS,0.442749,1
2026-01-30,SBUX,0.547376,2
2026-01-30,TSLA,-0.063164,15
2026-02-02,NKE,0.0,0
2026-02-02,TGT,0.34435,9
2026-02-02,DIS,-0.091114,18
2026-02-02,SBUX,0.415126,12
2026-02-02,TSLA,-0.018559,26
2026-02-03,NKE,0.934669,1
2026-02-03,TGT,0.271736,10
2026-02-03,DIS,0.47507,2
2026-02-03,SBUX,0.391923,11
2026-02-03,TSLA,-0.357311,10
2026-02-04,NKE,0.0,0
2026-02-04,TGT,0.378603,4
2026-02-04,DIS,-0.024393,17
2026-02-04,SBUX,0.408569,3
2026-02-04,TSLA,0.410779,8
2026-02-05,NKE,0.439216,2
2026-02-05,TGT,-0.228871,8
2026-02-05,DIS,0.158575,2
2026-02-05,SBUX,0.43533,3
2026-02-05,TSLA,-0.055117,9
2026-02-06,NKE,0.0,0
2026-02-06,TGT,0.403722,2
2026-02-06,DIS,0.513157,3
2026-02-06,SBUX,-0.60748,3
2026-02-06,TSLA,0.338227,4
2026-02-09,NKE,0.137077,2
2026-02-09,TGT,0.258819,5
2026-02-09,DIS,0.658319,5
2026-02-09,SBUX,0.899956,2
2026-02-09,TSLA,0.097659,21
2026-02-10,NKE,0.410145,2
2026-02-10,TGT,-0.214307,9
2026-02-10,DIS,0.616484,3
2026-02-10,SBUX,-0.826006,1
2026-02-10,TSLA,-0.20509,7
2026-02-11,NKE,-0.958747,1
2026-02-11,TGT,-0.27933,3
2026-02-11,DIS,-0.139503,4
2026-02-11,SBUX,-0.932245,1
2026-02-11,TSLA,0.056056,12
2026-02-12,NKE,-0.952039,2
2026-02-12,TGT,-0.035207,4
2026-02-12,DIS,-0.164459,4
2026-02-12,SBUX,0.0,0
2026-02-12,TSLA,0.190208,7
2026-02-13,NKE,0.0,0
2026-02-13,TGT,0.248809,5
2026-02-13,DIS,0.161042,6
2026-02-13,SBUX,-0.947607,1
2026-02-13,TSLA,-0.316228,5
2026-02-17,NKE,0.0,0
2026-02-17,TGT,0.028328,2
2026-02-17,DIS,0.938065,1
2026-02-17,SBUX,0.0,0
2026-02-17,TSLA,0.141398,6
2026-02-18,NKE,0.308973,1
2026-02-18,TGT,0.395453,5
2026-02-18,DIS,0.25899,6
2026-02-18,SBUX,-0.527835,1
2026-02-18,TSLA,-0.210504,12
2026-02-19,NKE,0.0,0
2026-02-19,TGT,0.513209,7
2026-02-19,DIS,0.750777,2
2026-02-19,SBUX,0.844954,1
2026-02-19,TSLA,-0.048711,6
2026-02-20,NKE,-0.484216,2
2026-02-20,TGT,0.770269,4
2026-02-20,DIS,0.230642,3
2026-02-20,SBUX,0.0,0
2026-02-20,TSLA,-0.073329,6
2026-02-23,NKE,0.139967,6
2026-02-23,TGT,0.18167,11
2026-02-23,DIS,-0.152051,16
2026-02-23,SBUX,0.243485,5
2026-02-23,TSLA,-0.011659,18
2026-02-24,NKE,0.564942,3
2026-02-24,TGT,0.012414,3
2026-02-24,DIS,0.589338,5
2026-02-24,SBUX,-0.002429,4
2026-02-24,TSLA,-0.241103,7
2026-02-25,NKE,0.0,0
2026-02-25,TGT,0.758192,3
2026-02-25,DIS,0.146695,6
2026-02-25,SBUX,-0.323686,2
2026-02-25,TSLA,0.429055,4
2026-02-26,NKE,-0.387546,1
2026-02-26,TGT,0.577283,3
2026-02-26,DIS,0.151203,4
2026-02-26,SBUX,0.931737,1
2026-02-26,TSLA,-0.94653,1
2026-02-27,NKE,0.0,0
2026-02-27,TGT,-0.684081,5
2026-02-27,DIS,0.684129,2
2026-02-27,SBUX,0.582143,1
2026-02-27,TSLA,0.023689,5
2026-03-02,NKE,0.076518,3
2026-03-02,TGT,0.188953,22
2026-03-02,DIS,0.193812,10
2026-03-02,SBUX,0.246117,7
2026-03-02,TSLA,-0.002304,12
2026-03-03,NKE,0.397831,1
2026-03-03,TGT,0.117757,2
2026-03-03,DIS,0.457569,2
2026-03-03,SBUX,0.407042,4
2026-03-03,TSLA,0.330535,4
2026-03-04,NKE,0.0,0
2026-03-04,TGT,0.232617,11
2026-03-04,DIS,0.443082,8
2026-03-04,SBUX,0.596895,3
2026-03-04,TSLA,-0.027932,10
2026-03-05,NKE,0.265956,3
2026-03-05,TGT,0.163909,8
2026-03-05,DIS,0.091145,2
2026-03-05,SBUX,0.587201,4
2026-03-05,TSLA,0.332187,8
2026-03-06,NKE,0.0,0
2026-03-06,TGT,-0.016414,3
2026-03-06,DIS,0.762661,1
2026-03-06,SBUX,0.0,0
2026-03-06,TSLA,-0.465148,2
2026-03-09,NKE,-0.018098,2
2026-03-09,TGT,0.231641,11
2026-03-09,DIS,-0.337938,11
2026-03-09,SBUX,0.270986,7
2026-03-09,TSLA,0.300315,8
2026-03-10,NKE,0.006514,1
2026-03-10,TGT,0.226618,5
2026-03-10,DIS,-0.395318,2
2026-03-10,SBUX,0.0,0
2026-03-10,TSLA,-0.490847,7
2026-03-11,NKE,0.898097,1
2026-03-11,TGT,-0.016919,2
2026-03-11,DIS,0.14135,6
2026-03-11,SBUX,0.168615,3
2026-03-11,TSLA,0.459834,1
2026-03-12,NKE,0.0,0
2026-03-12,TGT,0.916884,1
2026-03-12,DIS,-0.195733,4
2026-03-12,SBUX,-0.028702,3
2026-03-12,TSLA,-0.09304,8
2026-03-13,NKE,0.488957,2
2026-03-13,TGT,0.097071,2
2026-03-13,DIS,-0.147982,11
2026-03-13,SBUX,0.459888,4
2026-03-13,TSLA,0.513209,1
2026-03-16,NKE,-0.159552,7
2026-03-16,TGT,0.385307,23
2026-03-16,DIS,0.027709,14
2026-03-16,SBUX,0.204069,9
2026-03-16,TSLA,0.282237,12
2026-03-17,NKE,0.009619,1
2026-03-17,TGT,-0.292824,3
2026-03-17,DIS,0.087715,5
2026-03-17,SBUX,-0.341983,5
2026-03-17,TSLA,0.153254,6
2026-03-18,NKE,-0.092435,4
2026-03-18,TGT,-0.04401,1
2026-03-18,DIS,-0.056496,3
2026-03-18,SBUX,0.0,0
2026-03-18,TSLA,0.303615,10
2026-03-19,NKE,0.0,0
2026-03-19,TGT,0.538985,5
2026-03-19,DIS,0.136713,9
2026-03-19,SBUX,0.102136,5
2026-03-19,TSLA,-0.106437,6
2026-03-20,NKE,0.80645,1
2026-03-20,TGT,0.014954,1
2026-03-20,DIS,-0.599687,1
2026-03-20,SBUX,0.204578,4
2026-03-20,TSLA,0.416759,9
2026-03-23,NKE,0.917399,1
2026-03-23,TGT,0.316957,9
2026-03-23,DIS,0.223211,9
2026-03-23,SBUX,-0.94846,8
2026-03-23,TSLA,0.081335,17
2026-03-24,NKE,0.0,0
2026-03-24,TGT,0.929405,2
2026-03-24,DIS,-0.182882,1
2026-03-24,SBUX,-0.387683,3
2026-03-24,TSLA,0.495157,5
2026-03-25,NKE,-0.961427,1
2026-03-25,TGT,-0.275703,6
2026-03-25,DIS,-0.40422,6
2026-03-25,SBUX,-0.013957,4
2026-03-25,TSLA,-0.015759,8
2026-03-26,NKE,0.0,0
2026-03-26,TGT,0.057343,3
2026-03-26,DIS,0.408896,2
2026-03-26,SBUX,-0.21397,4
2026-03-26,TSLA,0.229789,9
2026-03-27,NKE,-0.967969,1
2026-03-27,TGT,-0.773211,2
2026-03-27,DIS,-0.037493,5
2026-03-27,SBUX,-0.313935,4
2026-03-27,TSLA,0.02833,7
2026-03-30,NKE,0.031139,18
2026-03-30,TGT,0.128547,9
2026-03-30,DIS,0.420549,10
2026-03-30,SBUX,-0.038937,10
2026-03-30,TSLA,0.080412,12
2026-03-31,NKE,-0.428725,5
2026-03-31,TGT,0.148124,5
2026-03-31,DIS,0.628088,5
2026-03-31,SBUX,0.196492,3
2026-03-31,TSLA,0.011371,19
2026-04-01,NKE,-0.584617,8
2026-04-01,TGT,0.855509,5
2026-04-01,DIS,0.231142,4
2026-04-01,SBUX,0.286261,2
2026-04-01,TSLA,0.191385,11
2026-04-02,NKE,-0.511605,12
2026-04-02,TGT,0.893986,1
2026-04-02,DIS,0.329297,4
2026-04-02,SBUX,0.0,0
2026-04-02,TSLA,-0.563143,7
2026-04-06,NKE,-0.163824,6
2026-04-06,TGT,0.453873,14
2026-04-06,DIS,0.342909,6
2026-04-06,SBUX,0.285428,9
2026-04-06,TSLA,-0.273667,19
2026-04-07,NKE,-0.276029,2
2026-04-07,TGT,-0.191445,3
2026-04-07,DIS,-0.020397,3
2026-04-07,SBUX,0.856958,5
2026-04-07,TSLA,-0.334856,10
2026-04-08,NKE,-0.946975,1
2026-04-08,TGT,0.04616,5
2026-04-08,DIS,0.579582,4
2026-04-08,SBUX,0.232246,3
2026-04-08,TSLA,-0.235199,5
2026-04-09,NKE,0.918891,1
2026-04-09,TGT,0.891154,2
2026-04-09,DIS,-0.211472,9
2026-04-09,SBUX,0.309547,3
2026-04-09,TSLA,0.353499,9
2026-04-10,NKE,0.076172,3
2026-04-10,TGT,0.125554,7
2026-04-10,DIS,-0.203638,9
2026-04-10,SBUX,0.102857,6
2026-04-10,TSLA,-0.351251,9
2026-04-13,NKE,0.189,3
2026-04-13,TGT,0.242346,8
2026-04-13,DIS,-0.208581,7
2026-04-13,SBUX,0.490297,3
2026-04-13,TSLA,-0.135231,15
2026-04-14,NKE,0.200999,1
2026-04-14,TGT,0.371542,5
2026-04-14,DIS,0.002825,5
2026-04-14,SBUX,-0.944246,1
2026-04-14,TSLA,0.106808,5
2026-04-15,NKE,0.502387,2
2026-04-15,TGT,0.820483,6
2026-04-15,DIS,-0.949276,8
2026-04-15,SBUX,0.404425,5
2026-04-15,TSLA,-0.151697,6
2026-04-16,NKE,-0.324211,1
2026-04-16,TGT,0.546754,4
2026-04-16,DIS,-0.480428,4
2026-04-16,SBUX,0.461795,3
2026-04-16,TSLA,0.014411,12
2026-04-17,NKE,0.50707,1
2026-04-17,TGT,0.0,0
2026-04-17,DIS,0.514468,5
2026-04-17,SBUX,0.905018,1
2026-04-17,TSLA,0.128048,4
2026-04-20,NKE,-0.403805,4
2026-04-20,TGT,0.026698,12
2026-04-20,DIS,-0.026417,10
2026-04-20,SBUX,0.263145,14
2026-04-20,TSLA,0.236976,21
2026-04-21,NKE,-0.220301,1
2026-04-21,TGT,0.408568,8
2026-04-21,DIS,0.342991,5
2026-04-21,SBUX,-0.002189,5
2026-04-21,TSLA,0.242216,16
2026-04-22,NKE,0.43993,3
2026-04-22,TGT,0.35121,2
2026-04-22,DIS,0.238504,3
2026-04-22,SBUX,0.247208,10
2026-04-22,TSLA,0.620295,7
2026-04-23,NKE,-0.192182,13
2026-04-23,TGT,0.0,0
2026-04-23,DIS,-0.028366,2
2026-04-23,SBUX,-0.364136,5
2026-04-23,TSLA,0.284541,11
2026-04-24,NKE,-0.497259,6
2026-04-24,TGT,0.76907,1
2026-04-24,DIS,-0.012224,4
2026-04-24,SBUX,0.06459,1
2026-04-24,TSLA,-0.077991,17
2026-04-27,NKE,-0.559188,6
2026-04-27,TGT,0.132792,6
2026-04-27,DIS,0.17177,13
2026-04-27,SBUX,0.46731,6
2026-04-27,TSLA,0.052472,19
2026-04-28,NKE,0.0,0
2026-04-28,TGT,0.05313,6
2026-04-28,DIS,-0.454015,4
2026-04-28,SBUX,0.938557,1
2026-04-28,TSLA,-0.226369,5
2026-04-29,NKE,0.0,0
2026-04-29,TGT,0.111874,3
2026-04-29,DIS,-0.881055,2
2026-04-29,SBUX,0.649295,15
2026-04-29,TSLA,0.367332,4
2026-04-30,NKE,0.0,0
2026-04-30,TGT,0.875013,5
2026-04-30,DIS,0.265052,4
2026-04-30,SBUX,0.222156,4
2026-04-30,TSLA,0.2086,10
2026-05-01,NKE,-0.378317,1
2026-05-01,TGT,0.628167,3
2026-05-01,DIS,0.125594,6
2026-05-01,SBUX,-0.175744,6
2026-05-01,TSLA,0.496113,5
2026-05-04,NKE,-0.802266,2
2026-05-04,TGT,-0.272283,6
2026-05-04,DIS,-0.106925,11
2026-05-04,SBUX,0.4361,9
2026-05-04,TSLA,0.031257,15
2026-05-05,NKE,0.015273,1
2026-05-05,TGT,0.862759,2
2026-05-05,DIS,-0.007256,2
2026-05-05,SBUX,0.541057,5
2026-05-05,TSLA,0.398422,8
2026-05-06,NKE,0.0,0
2026-05-06,TGT,0.328686,3
2026-05-06,DIS,0.093529,5
2026-05-06,SBUX,0.648418,4
2026-05-06,TSLA,0.319104,4
2026-05-07,NKE,0.0,0
2026-05-07,TGT,0.919109,1
2026-05-07,DIS,0.734456,5
2026-05-07,SBUX,0.040384,1
2026-05-07,TSLA,0.179098,5
2026-05-08,NKE,0.0,0
2026-05-08,TGT,-0.38307,8
2026-05-08,DIS,0.658263,7
2026-05-08,SBUX,0.4626,2
2026-05-08,TSLA,0.072611,7
2026-05-11,NKE,-0.948097,1
2026-05-11,TGT,-0.015599,12
2026-05-11,DIS,0.350653,16
2026-05-11,SBUX,0.494019,7
2026-05-11,TSLA,-0.242625,14
2026-05-12,NKE,0.798864,1
2026-05-12,TGT,0.896437,2
2026-05-12,DIS,-0.81609,1
2026-05-12,SBUX,-0.553012,7
2026-05-12,TSLA,0.179045,6
2026-05-13,NKE,-0.171773,2
2026-05-13,TGT,0.72366,6
2026-05-13,DIS,0.060526,4
2026-05-13,SBUX,0.224467,4
2026-05-13,TSLA,0.169559,8
2026-05-14,NKE,0.0,0
2026-05-14,TGT,-0.231734,3
2026-05-14,DIS,-0.221953,5
2026-05-14,SBUX,0.659528,2
2026-05-14,TSLA,-0.250035,3
2026-05-15,NKE,-0.392001,2
2026-05-15,TGT,0.048825,3
2026-05-15,DIS,0.465748,4
2026-05-15,SBUX,-0.467179,2
2026-05-15,TSLA,-0.942641,2
2026-05-18,NKE,0.121454,9
2026-05-18,TGT,0.039103,13
2026-05-18,DIS,0.650871,8
2026-05-18,SBUX,-0.031566,8
2026-05-18,TSLA,-0.009922,13
2026-05-19,NKE,-0.001091,2
2026-05-19,TGT,0.416912,6
2026-05-19,DIS,0.173746,2
2026-05-19,SBUX,-0.065469,9
2026-05-19,TSLA,-0.089172,8
2026-05-20,NKE,0.0,0
2026-05-20,TGT,0.64069,5
2026-05-20,DIS,0.554753,3
2026-05-20,SBUX,0.06083,3
2026-05-20,TSLA,-0.03107,9
2026-05-21,NKE,0.080378,1
2026-05-21,TGT,0.557148,9
2026-05-21,DIS,-0.009021,2
2026-05-21,SBUX,0.013681,2
2026-05-21,TSLA,0.283463,3
