date,next_date,portfolio_return,portfolio_value,cumulative_return
2026-01-02,2026-01-05,0.0232605503,102326.055,0.02326055030000007
2026-01-05,2026-01-06,-0.0052017907,101793.7763,0.017937763085772662
2026-01-06,2026-01-07,-0.009298616,100847.2351,0.008472350714939125
2026-01-07,2026-01-08,0.0182238441,102685.0594,0.026850593613528595
2026-01-08,2026-01-09,0.0077459733,103480.4551,0.0348045508947481
2026-01-09,2026-01-12,0.0055831405,104058.201,0.040582010092432785
2026-01-12,2026-01-13,0.0090564158,105000.5953,0.05000595344982961
2026-01-13,2026-01-14,-0.00242941,104745.5059,0.047455058486459034
2026-01-14,2026-01-15,0.0057343325,105346.1514,0.05346151407062738
2026-01-15,2026-01-16,-0.0018837826,105147.7022,0.051477021600651485
2026-01-16,2026-01-20,-0.0239077792,102633.8541,0.026338541134349525
2026-01-20,2026-01-21,0.0052055413,103168.1189,0.03168118879800619
2026-01-21,2026-01-22,0.0177741603,105001.8456,0.050018455626196445
2026-01-22,2026-01-23,0.0063045327,105663.8331,0.056638331315295165
2026-01-23,2026-01-26,-0.0288761447,102612.669,0.02612668996466816
2026-01-26,2026-01-27,-0.0058229929,102015.1562,0.02015156153450337
2026-01-27,2026-01-28,-0.0102817,100966.2669,0.009662669224274056
2026-01-28,2026-01-29,-0.0096228389,99994.6848,-5.315198501520957e-05
2026-01-29,2026-01-30,0.0213887899,102133.4501,0.021334501058344557
2026-01-30,2026-02-02,0.003720656,102513.4535,0.025134535397714375
2026-02-02,2026-02-03,0.0069633548,103227.2911,0.032272910885421835
2026-02-03,2026-02-04,0.0033322885,103571.2742,0.035712742035226785
2026-02-04,2026-02-05,-0.0232484735,101163.4002,0.011634001798408455
2026-02-05,2026-02-06,0.037225348,104929.243,0.04929242956398672
2026-02-06,2026-02-09,0.0035624055,105303.0435,0.053030434686173855
2026-02-09,2026-02-10,-6.2076e-06,105302.3898,0.0530238978944475
2026-02-10,2026-02-11,0.0121176812,106578.4106,0.06578410578511362
2026-02-11,2026-02-12,-0.0231994854,104105.8463,0.04105846298339966
2026-02-12,2026-02-13,0.0119681844,105351.8043,0.05351804263956539
2026-02-13,2026-02-17,-0.0007905591,105268.5174,0.05268517436394249
2026-02-17,2026-02-18,-0.0006101259,105204.2904,0.052042903874517155
2026-02-18,2026-02-19,-4.67527e-05,105199.3718,0.05199371802824526
2026-02-19,2026-02-20,0.0050750052,105733.2592,0.057332591617605955
2026-02-20,2026-02-23,-0.0282292256,102748.4912,0.02748491135459985
2026-02-23,2026-02-24,0.0206508951,104870.3395,0.0487033944758164
2026-02-24,2026-02-25,0.011483429,106074.6106,0.06074610544833847
2026-02-25,2026-02-26,-0.0132955847,104664.2866,0.04664286575815502
2026-02-26,2026-02-27,-0.0063667384,103997.9165,0.039979164433646464
2026-02-27,2026-03-02,-0.0040814678,103573.4523,0.03573452296133972
2026-03-02,2026-03-03,0.0142639788,105050.8218,0.050508218239288416
2026-03-03,2026-03-04,0.0111153731,106218.5009,0.06218500902963431
2026-03-04,2026-03-05,0.0012992408,106356.5043,0.06356504313051414
2026-03-05,2026-03-06,-0.0082614176,105477.8488,0.05477848816445108
2026-03-06,2026-03-09,0.0002396364,105503.1252,0.05503125148415222
2026-03-09,2026-03-10,0.0029965528,105819.2709,0.058192708334874554
2026-03-10,2026-03-11,0.0011887123,105945.0595,0.05945059502304262
