ticker,date,username,text,sentiment_declare
NKE,2026-06-10 12:56:10+00:00,Sirtuan,$NKE looks like accumulation last 2mos.,
NKE,2026-06-10 12:49:21+00:00,EdgexInvest,"$NKE is Nike a buy now, given the World Cup&#39;s visibility around the corner? The tournament may not have much immediate impact on sales, but the visibility could give the stock a lift, as could a solid Nike Q4 earnings release on June 30.  With shares down 31% year to date, the stock is trading at 22 times earnings, down considerably from earlier levels.  I think Nike stock may actually be nearing the buy zone.  Here&#39;s why: Investors have already baked in depressed near-term sales and margins, so a decent earnings report, an expected earnings recovery in fiscal 2027, the visibility of the World Cup, and a reasonable valuation might just make Nike a buy heading into the World Cup",
NKE,2026-06-10 12:44:01+00:00,EdgexInvest,"$NKE UBS (not actually a downgrade): Jay Sole just trimmed the price target from $54 to $50 and kept his Neutral rating ￼. He was already on the sidelines. That’s housekeeping, not a thesis change.  Why the same day? Earnings are coming late June, so the Street is recalibrating now. And note the context — Lululemon just dropped 10% on weak guidance. The whole athletic apparel space is getting marked down, not just Nike.  The signal: Wall Street gave Hill 18+ months of grace and patience is running out. “Turnaround in progress” no longer earns a premium multiple — they want revenue growth and there isn’t a visible engine for it this year.",Bearish
NKE,2026-06-10 12:43:14+00:00,EdgexInvest,"$NKE RBC (the real downgrade): Analyst Piral Dadhania cut Nike to Sector Perform from Outperform and slashed the price target from $70 to $50. His take: the turnaround under CEO Elliott Hill is progressing, but it’s moving slower and covering less ground than expected. Even with the World Cup tailwind and Nike’s inventory clean-up, he sees no real growth engines to drive a sustained sales inflection in 2026 — and after cutting his earnings estimates below consensus, the stock looks expensive relative to its actual growth prospects vs peers",Bearish
NKE,2026-06-10 12:41:05+00:00,EdgexInvest,Downgrade #1 today: https://www.tipranks.com/news/the-fly/nike-downgraded-to-sector-perform-from-outperform-at-rbc-capital-thefly-news  Downgrade #2: https://www.tipranks.com/news/the-fly/nike-price-target-lowered-to-50-from-54-at-ubs-thefly-news  2 downgrades on $NKE  TODAY,
NKE,2026-06-10 12:40:20+00:00,tkstockpicker,$NKE Lauch this mf,
NKE,2026-06-10 12:35:10+00:00,Diman517,$NKE Downgrade? What’s the thought process in doing so just before the World Cup?!?😂  I’ve placed my bets.,Bullish
NKE,2026-06-10 12:29:13+00:00,NewAge69,$NKE today breaking the 45 with. Volume 😘😘😘😘😘😘😘😘😘😘,
NKE,2026-06-10 12:28:59+00:00,NoNoStress,"$NKE blow me analysts. ZERO credit u got. Monkey predicts same as u do, staticstically.",Bullish
NKE,2026-06-10 11:38:27+00:00,TeamTrumporDie,$NKE what the hell ass soon as I open my mouth,
NKE,2026-06-10 11:34:01+00:00,MansasAlgo,$NKE dismal 🤣,Bearish
NKE,2026-06-10 11:09:55+00:00,omgstfu,"$NKE what a MF joke, I thought ever single analyst on planet earth already downgraded Nike stock. Guess we had 1 more straggler who was laste to the party but Mr. Market will take any excuse to bring the stock price down. $SPY $LULU $DKNG",
NKE,2026-06-10 11:07:23+00:00,WallStreetBuyDip,gonna wait for H% to cool down before buying $NKE like usual,
NKE,2026-06-10 11:03:01+00:00,MF__DOOM,"$NKE price downgrade, try and hold above 40-42 this and next week or it will get bad quickly   $SPY $QQQ   $AAPL curious how this does today got bloodied past few days similar with $MSFT",Bearish
NKE,2026-06-10 10:42:08+00:00,MF__DOOM,$AAPL $NKE $QQQ $SPY $TSLA going lower,Bearish
NKE,2026-06-10 10:41:50+00:00,MF__DOOM,$AAPL $NKE $QQQ $SPY $TSLA back to sub 43,Bearish
NKE,2026-06-10 10:29:04+00:00,rs328,$NKE Analysts upgraded/downgrades in today’s market has little to do with fundamentals and more with momentum.   When the Bullish exodus occurs the stock deflates to a point that any bullish news creates a mass bearish exit by buying the stock pushing the stock price up.   We are at the fully deflated stage of NKE.   CEO Hill already set expectations very low for this quarter.   A visual analogy is: imagine you are a hurdle jumper and CEO Hill is your trainer. Instead of setting out a hurdle to practice on he put a stick on the track and told you to jump over it. If you don’t jump over it it trips you and you fall. Nike’s stock will also fall.   If you do jump over it it’s a massive win. Nike’s stock will rise.   So Nike’s stock will likely rise because expectations are now set at the floor. Pricing analysts priced the expectation so low which drove down the price. Now we drive it UP.,
NKE,2026-06-10 10:20:28+00:00,NoNoStress,"$NKE RBC downgrade haha, why didnt they downgrade nike at 150 so ppl can take profits? pure manipulation. bullish as fuck🏆",Bullish
NKE,2026-06-10 10:06:10+00:00,BATMAN_DEL_MERVAL,"$NKE $NKE RBC needs to take a closer look at the analysts they hire, hahaha. They probably know little to nothing about fundamentals; this price is nonexistent. The CEO is talking to himself: buy back everything you can. Take my word for it, sometimes the train doesn&#39;t come around twice.",
NKE,2026-06-10 10:01:56+00:00,NewAge69,$NKE tztz.....techs seem to be bloody red today....  Further rotation coming,Bullish
NKE,2026-06-10 09:37:01+00:00,MansasAlgo,$NKE,Bearish
NKE,2026-06-10 09:36:48+00:00,MansasAlgo,$NKE eww,Bearish
NKE,2026-06-10 09:03:28+00:00,NewAge69,$NKE pm - 1.3 % Who cares-same for Analyst who missed the train again  Enjoy the day,Bullish
NKE,2026-06-10 09:03:04+00:00,EdgexInvest,$NKE why down 1.4%?  https://www.tipranks.com/news/the-fly/nike-downgraded-to-sector-perform-from-outperform-at-rbc-capital-thefly-news,
NKE,2026-06-10 08:43:14+00:00,StocktwitsNews,Why Is NKE Stock Falling Premarket Today?  $NKE  https://stocktwits.com/news/equity/markets/why-is-nke-stock-falling-premarket-today/cZ06XGoR7Th,
NKE,2026-06-10 08:34:19+00:00,RGNR,$NKE if it reverses from this sb downgrade .. load the fn boat .. the bottom is in .. seen it mang times … bs downgrade at the lowd to get the weak hands out,Bullish
NKE,2026-06-10 08:09:13+00:00,Kolbe_Trades,$NKE RBC downgrade is pure manipulation. You don&#39;t hate the institutions enough.,
NKE,2026-06-10 08:01:22+00:00,WallStJesus,👎🏼 $NKE  RBC Cuts to Sector Perform From Outperform; Cuts Target Price to $50 From $70,
NKE,2026-06-10 07:48:36+00:00,Hugo_van_B,$NKE Piral Dadhania’s track record on Nike is an utter catastrophe. This London based analyst with posts a dismal 33% success rate and negative 7.80% average return across 422 ratings. On Nike specifically he has repeatedly slashed price targets from $145 down to $65 then chopped again to $78 while the company executes its US turnaround. He has missed every major step of the recovery doubting the resilience that defines this American icon.   Meanwhile he now upgrades Adidas as the anti American woke anat you are living in London. Your notes are perpetual pessimism that investors have learned to ignore. Nike is proving stronger than your endless misjudgements.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,Bullish
NKE,2026-06-10 07:39:29+00:00,Hugo_van_B,$NKE Here he is!!!  RBC Capital!,Bullish
TGT,2026-06-09 15:51:09+00:00,BigBoyDollars,$TGT this is the worst stock to be a bear in a bubble pop scenario,
TGT,2026-06-09 14:35:52+00:00,dojidad,"$TGT Turning positive with a gap up open. Took a position. 30% of yesterdays volume in the first hour is a good sign, IMO",
TGT,2026-06-09 13:46:12+00:00,Game_Day,$LULU + $TGT trending 👕 👊,
TGT,2026-06-09 12:22:08+00:00,WallStreetBuyDip,Will trade $TGT + $LKNCY next like this. This is my large cap stocks win/loss summary so far. I don’t make 100s of trades.  I only buy when H% is low. I keep track of my record to see if my strategy has worked out or not.,
TGT,2026-06-08 19:09:18+00:00,Game_Day,SDOT trending   $BKNG $MRLN $SDOT $TGT,
TGT,2026-06-08 16:48:54+00:00,Hodler8,"@test_funkcnosti lambos, shopping at $TGT and other fancy things",
TGT,2026-06-08 16:42:09+00:00,nibbs343,$TGT back to the cotton fields of 112,Bearish
TGT,2026-06-08 15:10:12+00:00,Game_Day,JUNE 8 📊 $BKNG  potential 166 cover to 167.83 tests  $TGT  trending 124.16 to 124.65  $SDOT  if momentum remains could see 20-24 zone (alert in low 6s)  $MRLN  makes great moves worth a watch it also has options,
TGT,2026-06-08 14:51:17+00:00,VeltrixCapitalOfficial,🚨A+ SWING TRADE🚨  6/12 $TGT 133c @.17  1000 CONTRACTS  Trade called on https://t.me/veltrixcapitalbrokers,
TGT,2026-06-08 13:08:56+00:00,Sir_Cumsize,$TGT  is this thing allergic to green?,
TGT,2026-06-07 12:10:04+00:00,BustaCapital,Issue 23 of The LongVol Report is out     Updated notes on:     $UNH     $TGT     $ZETA     https://longvolreport.com/p/longvol-report-issue-23,
TGT,2026-06-07 01:35:06+00:00,LowFloatFinders,$TGT my sleeper pick,
TGT,2026-06-06 19:16:13+00:00,AStrokeOfLuck,$WMT $SPY $TGT,
TGT,2026-06-06 02:28:46+00:00,TheVulcanDevilWhale,$TGT,
TGT,2026-06-05 19:23:49+00:00,Sir_Cumsize,$TGT BEAR flag looks like 117 coming again,Bearish
TGT,2026-06-05 19:21:06+00:00,Sir_Cumsize,$TGT  who keeps shorting this?,
TGT,2026-06-05 17:54:09+00:00,NVDAMillionaire,"$TGT Brilliant piece that captures TGT&#39;s situation perfectly. So if you want to update your understanding of TGT or get to know TGT better, this is essential reading. https://everyticker.com/quote/TGT/analysis/target-s-2-billion-gamble-can-new-leadership-rebuild-a-retail-icon-before-margins-collapse-nyse-tgt",
TGT,2026-06-05 16:13:33+00:00,chilov77,$TGT Healthy pullback 🤲💎,Bullish
TGT,2026-06-05 15:56:30+00:00,Georgedon1,"$DMRC  in discussions with 15 retailers for rollout (potential this year) for the digimarc protected giftcards!!  These orders for the holiday season are placed in april, may and june!!    I  feel the market has not priced in these orders YET!!  $WMT $HD $TGT $ULTA !!!  The repricing of the stock will come fast!!",Bullish
TGT,2026-06-05 14:25:04+00:00,sister,$LULU starting move . . . $NKE Big Buyers coming in for Sharp Reversal towards $80.17 from August.  $TGT $M,
